Start       End         Size       Name
16384     24575     8192     uboot
24576     32767     8192     trust
32768     36863     4096     waveform
36864     45055     8192     misc
45056     53247     8192     dtbo
53248     55295     2048     vbmeta
55296     137215    81920    boot
137216    145407    8192     security
145408    407551    262144   recovery
407552    1193983   786432   backup
1193984   3291135   2097152  cache
3291136   3323903   32768    metadata
3323904   9697279   6373376  super
9697280   9730047   32768    logo
9730048   9861119   131072   device
9861120   25486328  15625209 userdata
25487360  120913919 95426560 primary
120913920 229011455 108097536 primary
229011456 241825791 12814336 primary
